title,start_time,end_time,url
"diabolical, encyclopedia, is",0:02:09,0:03:58,https://www.youtube.com/watch?v=i_2DKqG9vns
"reminiscent, insecurities, dangerous",0:12:20,0:15:43,https://www.youtube.com/watch?v=i_2DKqG9vns
"Florescent Adolescence, Rainbow, Wetherspoons",0:00:55,0:04:32,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Cats, Shoes, Football",0:05:47,0:08:14,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Clowns, Guitars, Roast Me",0:09:36,0:11:02,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Pussy, Antidisestablishmentarianism, Wall",0:13:09,0:14:51,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"My Average Day, Didgeridoo",0:18:32,0:20:59,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"COVID, Sports, Comedy",0:00:56,0:03:40,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Huskies, Iced Coffee, Bucket Hats",0:06:02,0:07:53,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Sheep, PlayStation, Bottle",0:10:08,0:12:00,https://www.youtube.com/watch?v=BgCUCg9aMyA
"King, NF, New York",0:17:04,0:19:06,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Bookbag, Perfume In A Bottle, Painting",0:01:51,0:04:14,https://www.youtube.com/watch?v=37duQAUSYXo
"Oreos, Oxygen, Lotion",0:06:40,0:09:00,https://www.youtube.com/watch?v=37duQAUSYXo
"Ninja Turtles, Dogs, Iron Man",0:11:14,0:13:03,https://www.youtube.com/watch?v=37duQAUSYXo
Mr. Feelgood - The Humpus,0:19:01,0:20:52,https://www.youtube.com/watch?v=37duQAUSYXo
"London, Rivers, Drinking, Red Wine",0:01:28,0:03:21,https://www.youtube.com/watch?v=jrNapeXr3TY
"Football, Florida, Senior",0:06:35,0:08:38,https://www.youtube.com/watch?v=jrNapeXr3TY
"Drank, Menstruation, Police",0:10:41,0:13:00,https://www.youtube.com/watch?v=jrNapeXr3TY
