title,start_time,end_time,url
Not Worth It,00:00:00,00:05:14,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Deep Sea Diving (feat Stan Taylor),00:05:14,00:08:06,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Napolean Hill,00:08:06,00:11:13,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Go For Mine,00:11:13,00:15:16,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Next Gear Intro (The Hunger),00:15:16,00:15:35,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Next Gear,00:15:35,00:19:24,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Roll Your Jay (feat deSerko),00:19:24,00:23:27,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Outta My Head,00:23:27,00:28:00,https://www.youtube.com/watch?v=Pv_f7wMrpqY
They Told Me (feat Gabe Steiner),00:28:00,00:33:29,https://www.youtube.com/watch?v=Pv_f7wMrpqY
Intro,00:01:00,00:02:05,https://www.youtube.com/watch?v=i_2DKqG9vns
"diabolical, encyclopedia, is",00:02:09,00:03:58,https://www.youtube.com/watch?v=i_2DKqG9vns
Energy Exchange Tour Recap,00:03:58,00:09:20,https://www.youtube.com/watch?v=i_2DKqG9vns
Energy Exchange Tour,00:10:55,00:12:20,https://www.youtube.com/watch?v=i_2DKqG9vns
"reminiscent, insecurities, dangerous",00:12:20,00:15:43,https://www.youtube.com/watch?v=i_2DKqG9vns
Traveling All Over the World,00:15:43,00:19:56,https://www.youtube.com/watch?v=i_2DKqG9vns
Rap Coltrane,00:00:00,00:03:55,https://www.youtube.com/watch?v=rLIkQLj3uJo
Snake Eyes,00:03:53,00:08:01,https://www.youtube.com/watch?v=rLIkQLj3uJo
No Apology,00:07:58,00:12:18,https://www.youtube.com/watch?v=rLIkQLj3uJo
Lost,00:00:00,00:03:59,https://www.youtube.com/watch?v=F7FsA3JSOHQ
Fuck This Fear,00:03:57,00:07:30,https://www.youtube.com/watch?v=F7FsA3JSOHQ
Soulilloquies,00:07:27,00:11:24,https://www.youtube.com/watch?v=F7FsA3JSOHQ
Harry Mack x Beat Cleaver 1,00:00:00,00:06:21,https://www.youtube.com/watch?v=cnukKeC_phA
Harry Mack x Beat Cleaver 2,00:06:21,00:11:32,https://www.youtube.com/watch?v=cnukKeC_phA
Overtime - Sway's Universe,00:00:27,00:08:14,https://www.youtube.com/watch?v=73WCDV51bo0
"Florescent Adolescence, Rainbow, Wetherspoons",00:00:55,00:04:32,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Cats, Shoes, Football",00:05:47,00:08:14,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Clowns, Guitars, Roast Me",00:09:36,00:11:02,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"Pussy, Antidisestablishmentarianism, Wall",00:13:09,00:14:51,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"My Average Day, Didgeridoo",00:18:32,00:20:59,https://www.youtube.com/watch?v=NPdKxsSE5JQ
"COVID, Sports, Comedy",00:00:56,00:03:40,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Huskies, Iced Coffee, Bucket Hats",00:06:02,00:07:53,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Sheep, PlayStation, Bottle",00:10:08,00:12:00,https://www.youtube.com/watch?v=BgCUCg9aMyA
"King, NF, New York",00:17:04,00:19:06,https://www.youtube.com/watch?v=BgCUCg9aMyA
"Bookbag, Perfume In A Bottle, Painting",00:01:51,00:04:14,https://www.youtube.com/watch?v=37duQAUSYXo
"Oreos, Oxygen, Lotion",00:06:40,00:09:00,https://www.youtube.com/watch?v=37duQAUSYXo
"Ninja Turtles, Dogs, Iron Man",00:11:14,00:13:03,https://www.youtube.com/watch?v=37duQAUSYXo
Mr. Feelgood - The Humpus,00:19:01,00:20:52,https://www.youtube.com/watch?v=37duQAUSYXo
"London, Rivers, Drinking, Red Wine",00:01:28,00:03:21,https://www.youtube.com/watch?v=jrNapeXr3TY
"Football, Florida, Senior",00:06:35,00:08:38,https://www.youtube.com/watch?v=jrNapeXr3TY
"Drank, Menstruation, Police",00:10:41,00:13:00,https://www.youtube.com/watch?v=jrNapeXr3TY
"Drinking on a Sunday, High as Fuck",00:14:44,00:17:25,https://www.youtube.com/watch?v=jrNapeXr3TY
"Function, Poison, Purified",00:01:14,04:00:00,https://www.youtube.com/watch?v=Gh7Wbix9UwY
"Wolves, Love, Cola",00:06:02,00:08:31,https://www.youtube.com/watch?v=Gh7Wbix9UwY
"Purple, Bottle, Joint, Groin",00:11:20,00:13:20,https://www.youtube.com/watch?v=Gh7Wbix9UwY
"Paint, Cash, Walls, Beemer",00:15:07,00:17:43,https://www.youtube.com/watch?v=Gh7Wbix9UwY
"Cypher, Integrity, Weed",00:01:35,00:04:09,https://www.youtube.com/watch?v=dwFhTq5x0Tc
"Shopping, Swimming, Boxing",00:07:12,00:10:15,https://www.youtube.com/watch?v=dwFhTq5x0Tc
"Imported, Lurking, Automatic",00:12:56,00:15:56,https://www.youtube.com/watch?v=dwFhTq5x0Tc
"Sofa, Juice, Octagon",00:17:47,00:20:16,https://www.youtube.com/watch?v=dwFhTq5x0Tc
"Comedy, College, Nicotine",00:01:22,00:04:30,https://www.youtube.com/watch?v=75j7pEjRAIQ
"Betrayal, Pain, Love",00:06:21,00:08:27,https://www.youtube.com/watch?v=75j7pEjRAIQ
"Wine, Hot, Flags",00:10:29,00:12:21,https://www.youtube.com/watch?v=75j7pEjRAIQ
"Pineapple, Train, Pasta",00:13:27,00:15:40,https://www.youtube.com/watch?v=75j7pEjRAIQ
"Drink, Gum, Bottle",00:16:58,00:19:11,https://www.youtube.com/watch?v=75j7pEjRAIQ
"McDonalds, Plate, Cheese Puff",00:01:34,00:03:59,https://www.youtube.com/watch?v=O6ve-5b_x5U
"Corky, Annabelle, Puppetworld",00:06:58,00:08:23,https://www.youtube.com/watch?v=O6ve-5b_x5U
"Pepper, Keyboard, Pair of Pants",00:10:17,00:13:03,https://www.youtube.com/watch?v=O6ve-5b_x5U
"Cheese, Leaks, T-Shirt",00:14:50,00:17:27,https://www.youtube.com/watch?v=O6ve-5b_x5U
"Yoohoo, Plate, Water",00:01:09,00:03:46,https://www.youtube.com/watch?v=oxuUDgOdoRw
"Milk, Big L, Bag",00:06:35,00:08:55,https://www.youtube.com/watch?v=oxuUDgOdoRw
"Cardi B, Omegle, Fashion",00:11:22,00:13:13,https://www.youtube.com/watch?v=oxuUDgOdoRw
"Jesus, Air Force One, Sky",00:16:38,00:18:40,https://www.youtube.com/watch?v=oxuUDgOdoRw
"Kitty, Candy, Sky",00:01:04,00:03:24,https://www.youtube.com/watch?v=7GAuu0Ro9PM
"Purple, Wave, Change",00:06:06,00:09:29,https://www.youtube.com/watch?v=7GAuu0Ro9PM
"Masculinity, Chaosity, Trustworthy",00:12:24,00:15:31,https://www.youtube.com/watch?v=7GAuu0Ro9PM
"Ohio, Shut Your Mouth & Beatbox, Brody",00:17:24,00:18:46,https://www.youtube.com/watch?v=7GAuu0Ro9PM
"Sandwich, Flags, Table",00:00:59,00:03:24,https://www.youtube.com/watch?v=Rqv6oiyddn8
"Penguin, Philadelphia, Steve",00:05:24,00:07:44,https://www.youtube.com/watch?v=Rqv6oiyddn8
"Phone, Crush, Car",00:09:28,00:12:29,https://www.youtube.com/watch?v=Rqv6oiyddn8
"Octopus, Doorknob, Orange",00:13:58,00:18:14,https://www.youtube.com/watch?v=Rqv6oiyddn8
"Orange, Fruit, Apples, Keyboard",00:01:20,00:03:54,https://www.youtube.com/watch?v=hZcpRm80EBk
"Ramen, Paint, Anticipation",00:05:55,00:08:29,https://www.youtube.com/watch?v=hZcpRm80EBk
"Water, Bass, Table",00:10:25,00:12:45,https://www.youtube.com/watch?v=hZcpRm80EBk
"Detroit Red Wings, Black Widows Elite, Family",00:14:12,00:16:25,https://www.youtube.com/watch?v=hZcpRm80EBk
"Money, Light, Studying",00:01:13,00:04:30,https://www.youtube.com/watch?v=6c5Y47TYQWQ
"Goblet, Nancy Drew, Minerals",00:06:14,00:09:21,https://www.youtube.com/watch?v=6c5Y47TYQWQ
"Banana, Plushie, Blue",00:11:40,00:13:48,https://www.youtube.com/watch?v=6c5Y47TYQWQ
"Life, Interaction, Psyche, Extinguisher, Kendrick",00:15:18,00:18:23,https://www.youtube.com/watch?v=6c5Y47TYQWQ
"California, Language, Enemy",00:01:03,00:03:59,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Chocolate, Cake Dinosaurs",00:06:27,00:09:02,https://www.youtube.com/watch?v=Ap4dVD_CRm8
Random Beatboxer,00:10:13,00:11:19,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Genius, Mask, Wood, Van",00:12:41,00:15:32,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Black, Picture, Camera, Coffee",00:16:42,00:19:34,https://www.youtube.com/watch?v=Ap4dVD_CRm8
"Beatbox, Discord, Drop, Beats, Inward Bass",00:01:29,00:04:38,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Dental Hygienist, Drama, Family",00:07:42,00:09:55,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Scarce, CAPS, Streets",00:11:39,00:15:14,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Monster, Simultaneously, Siren",00:17:57,00:20:29,https://www.youtube.com/watch?v=lt0r0JNDeeo
"Pizza, Labradoodles, Ariana Grande",00:01:10,00:03:49,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Dolphin, Orange, Eyelash",00:05:22,00:07:55,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Call of Duty, PlayStation, Basketball",00:09:03,00:12:22,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Dessert, Dogs, Pillow, Croc, Candles",00:14:10,00:17:19,https://www.youtube.com/watch?v=XTfaaoBRjvs
"Pumpkin, Orange, Pineapple",00:00:55,00:03:12,https://www.youtube.com/watch?v=QwnqI4dyPI8
