youtube_id,start,length,end,words,notes,producer,beat_name,,,,,,,,
NPdKxsSE5JQ,57,213,270,"Florescent Adolescence, Rainbow, Wetherspoons","Pepsi, Vinyl, Spoon, Adapter, Champion Hat, Apple Watch, Action Figure, Monster, Wine Glass, iPhone",,,,,,,,,,
NPdKxsSE5JQ,349,143,492,"Cats, Shoes, Football",,,,,,,,,,,
NPdKxsSE5JQ,578,82,660,"Clowns, Guitars, Roast Me",,,,,,,,,,,
NPdKxsSE5JQ,791,98,889,"Pussy, Antidisestablishmentarianism, Wall",,,,,,,,,,,
NPdKxsSE5JQ,1114,143,1257,"My Average Day, Didgeridoo",,,,,,,,,,,
BgCUCg9aMyA,58,160,218,"COVID, Sports, Comedy",,,,,,,,,,,
BgCUCg9aMyA,364,107,471,"Huskies, Iced Coffee, Bucket Hats",,,,,,,,,,,
BgCUCg9aMyA,610,108,718,"Sheep, PlayStation, Bottle",,,,,,,,,,,
BgCUCg9aMyA,1026,118,1144,"King, NF, New York",,,,,,,,,,,
37duQAUSYXo,113,139,252,"Bookbag, Perfume In A Bottle, Painting",,,,,,,,,,,
37duQAUSYXo,402,136,538,"Oreos, Oxygen, Lotion",,,,,,,,,,,
37duQAUSYXo,676,105,781,"Ninja Turtles, Dogs, Iron Man",,,,,,,,,,,
37duQAUSYXo,1143,107,1250,Mr. Feelgood - The Humpus,,,,,,,,,,,
jrNapeXr3TY,90,109,199,"London, Rivers, Drinking, Red Wine",,,,,,,,,,,
jrNapeXr3TY,397,119,516,"Football, Florida, Senior",,,,,,,,,,,
jrNapeXr3TY,643,135,778,"Drank, Menstruation, Police",,,,,,,,,,,
jrNapeXr3TY,886,157,1043,"Drinking on a Sunday, High as Fuck",,,,,,,,,,,
Gh7Wbix9UwY,76,161,237,"Function, Poison, Purified",,,,,,,,,,,
Gh7Wbix9UwY,364,145,509,"Wolves, Love, Cola",,,,,,,,,,,
Gh7Wbix9UwY,682,116,798,"Purple, Bottle, Joint, Groin",,,,,,,,,,,
Gh7Wbix9UwY,909,152,1061,"Paint, Cash, Walls, Beemer",,,,,,,,,,,
dwFhTq5x0Tc,97,150,247,"Cypher, Integrity, Weed",,,,,,,,,,,
dwFhTq5x0Tc,434,179,613,"Shopping, Swimming, Boxing",,,,,,,,,,,
dwFhTq5x0Tc,778,176,954,"Imported, Lurking, Automatic",,,,,,,,,,,
dwFhTq5x0Tc,1069,145,1214,"Sofa, Juice, Octagon",,,,,,,,,,,
75j7pEjRAIQ,84,184,268,"Comedy, College, Nicotine",,,,,,,,,,,
75j7pEjRAIQ,383,122,505,"Betrayal, Pain, Love",,,,,,,,,,,
75j7pEjRAIQ,631,108,739,"Wine, Hot, Flags",Lost him part way through,,,,,,,,,,
75j7pEjRAIQ,809,129,938,"Pineapple, Train, Pasta",,,,,,,,,,,
75j7pEjRAIQ,1020,129,1149,"Drink, Gum, Bottle",Clip 3 guy came back on!!!,,,,,,,,,,
O6ve-5b_x5U,96,141,237,"McDonalds, Plate, Cheese Puff",,,,,,,,,,,
O6ve-5b_x5U,362,139,501,"Corky, Annabelle, Puppetworld",Creepy Puppets in Puppetworld,,,,,,,,,,
O6ve-5b_x5U,619,162,781,"Pepper, Keyboard, Pair of Pants",,,,,,,,,,,
O6ve-5b_x5U,892,153,1045,"Cheese, Leaks, T-Shirt",,,,,,,,,,,
oxuUDgOdoRw,71,153,224,"Yoohoo, Plate, Water",,,,,,,,,,,
oxuUDgOdoRw,397,136,533,"Milk, Big L, Bag",,,,,,,,,,,
oxuUDgOdoRw,684,107,791,"Cardi B, Omegle, Fashion",,,,,,,,,,,
oxuUDgOdoRw,1000,118,1118,"Jesus, Air Force One, Sky",,,,,,,,,,,
7GAuu0Ro9PM,66,136,202,"Kitty, Candy, Sky",,,,,,,,,,,
7GAuu0Ro9PM,368,199,567,"Purple, Wave, Change",,,,,,,,,,,
7GAuu0Ro9PM,746,183,929,"Masculinity, Chaosity, Trustworthy",,,,,,,,,,,
7GAuu0Ro9PM,1046,78,1124,"Ohio, Shut Your Mouth & Beatbox, Brody",,Random Omegler,beatbox,,,,,,,,
Rqv6oiyddn8,61,141,202,"Sandwich, Flags, Table",,,,,,,,,,,
Rqv6oiyddn8,326,136,462,"Penguin, Philadelphia, Steve",,,,,,,,,,,
Rqv6oiyddn8,570,177,747,"Phone, Crush, Car",,,,,,,,,,,
Rqv6oiyddn8,840,252,1092,"Octopus, Doorknob, Orange",,,,,,,,,,,
hZcpRm80EBk,82,150,232,"Orange, Fruit, Apples, Keyboard",,,,,,,,,,,
hZcpRm80EBk,362,145,507,"Ramen, Paint, Anticipation",,,,,,,,,,,
hZcpRm80EBk,640,123,763,"Water, Bass, Table",,,,,,,,,,,
hZcpRm80EBk,854,129,983,"Detroit Red Wings, Black Widows Elite, Family",,,,,,,,,,,
6c5Y47TYQWQ,75,193,268,"Money, Light, Studying",,,,,,,,,,,
6c5Y47TYQWQ,376,183,559,"Goblet, Nancy Drew, Minerals",,,,,,,,,,,
6c5Y47TYQWQ,702,124,826,"Banana, Plushie, Blue",,,,,,,,,,,
6c5Y47TYQWQ,920,181,1101,"Life, Interaction, Psyche, Extinguisher, Kendrick",,,,,,,,,,,
Ap4dVD_CRm8,65,172,237,"California, Language, Enemy",,,,,,,,,,,
Ap4dVD_CRm8,389,151,540,"Chocolate, Cake Dinosaurs",,,,,,,,,,,
Ap4dVD_CRm8,615,62,677,Random Beatboxer,,Random Omegler,beatbox,,,,,,,,
Ap4dVD_CRm8,763,167,930,"Genius, Mask, Wood, Van",,,,,,,,,,,
Ap4dVD_CRm8,1004,168,1172,"Black, Picture, Camera, Coffee",,,,,,,,,,,
lt0r0JNDeeo,91,185,276,"Beatbox, Discord, Drop, Beats, Inward Bass",,,,,,,,,,,
lt0r0JNDeeo,464,129,593,"Dental Hygienist, Drama, Family",,,,,,,,,,,
