episode,clip_number,youtube_id,start,end,topics
1,1,NPdKxsSE5JQ,57,270,Florescent Adolescence| Rainbow| Wetherspoons
1,2,NPdKxsSE5JQ,349,492,Cats| Shoes| Football
1,3,NPdKxsSE5JQ,578,660,Clowns| Guitars| Roast Me
1,4,NPdKxsSE5JQ,791,889,Pussy| Antidisestablishmentarianism| Wall
1,5,NPdKxsSE5JQ,1114,1257,My Average Day| Didgeridoo
2,1,BgCUCg9aMyA,58,218,COVID| Sports| Comedy
2,2,BgCUCg9aMyA,364,471,Huskies| Iced Coffee| Bucket Hats
2,3,BgCUCg9aMyA,610,718,Sheep| PlayStation| Bottle
2,4,BgCUCg9aMyA,1026,1144,King| NF| New York
3,1,37duQAUSYXo,113,252,Bookbag| Perfume In A Bottle| Painting
3,2,37duQAUSYXo,402,538,Oreos| Oxygen| Lotion
3,3,37duQAUSYXo,676,781,Ninja Turtles| Dogs| Iron Man
3,4,37duQAUSYXo,1143,1250,Mr. Feelgood - The Humpus
4,1,jrNapeXr3TY,90,199,London| Rivers| Drinking| Red Wine
4,2,jrNapeXr3TY,397,516,Football| Florida| Senior
4,3,jrNapeXr3TY,643,778,Drank| Menstruation| Police
4,4,jrNapeXr3TY,886,1043,Drinking on a Sunday| High as Fuck
5,1,Gh7Wbix9UwY,76,237,Function| Poison| Purified
5,2,Gh7Wbix9UwY,364,509,Wolves| Love| Cola
5,3,Gh7Wbix9UwY,682,798,Purple| Bottle| Joint| Groin
5,4,Gh7Wbix9UwY,909,1061,Paint| Cash| Walls| Beemer
6,1,dwFhTq5x0Tc,97,247,Cypher| Integrity| Weed
6,2,dwFhTq5x0Tc,434,613,Shopping| Swimming| Boxing
6,3,dwFhTq5x0Tc,778,954,Imported| Lurking| Automatic
6,4,dwFhTq5x0Tc,1069,1214,Sofa| Juice| Octagon
7,1,75j7pEjRAIQ,84,268,Comedy| College| Nicotine
7,2,75j7pEjRAIQ,383,505,Betrayal| Pain| Love
7,3,75j7pEjRAIQ,631,739,Wine| Hot| Flags
7,4,75j7pEjRAIQ,809,938,Pineapple| Train| Pasta
7,5,75j7pEjRAIQ,1020,1149,Drink| Gum| Bottle
8,1,O6ve-5b_x5U,96,237,McDonalds| Plate| Cheese Puff
8,2,O6ve-5b_x5U,362,501,Corky| Annabelle| Puppetworld
8,3,O6ve-5b_x5U,619,781,Pepper| Keyboard| Pair of Pants
8,4,O6ve-5b_x5U,892,1045,Cheese| Leaks| T-Shirt
9,1,oxuUDgOdoRw,71,224,Yoohoo| Plate| Water
9,2,oxuUDgOdoRw,397,533,Milk| Big L| Bag
9,3,oxuUDgOdoRw,684,791,Cardi B| Omegle| Fashion
9,4,oxuUDgOdoRw,1000,1118,Jesus| Air Force One| Sky
10,1,7GAuu0Ro9PM,66,202,Kitty| Candy| Sky
10,2,7GAuu0Ro9PM,368,567,Purple| Wave| Change
10,3,7GAuu0Ro9PM,746,929,Masculinity| Chaosity| Trustworthy
10,4,7GAuu0Ro9PM,1046,1124,Ohio| Shut Your Mouth & Beatbox| Brody
11,1,Rqv6oiyddn8,61,202,Sandwich| Flags| Table
11,2,Rqv6oiyddn8,326,462,Penguin| Philadelphia| Steve
11,3,Rqv6oiyddn8,570,747,Phone| Crush| Car
11,4,Rqv6oiyddn8,840,1092,Octopus| Doorknob| Orange
12,1,hZcpRm80EBk,82,232,Orange| Fruit| Apples| Keyboard
12,2,hZcpRm80EBk,362,507,Ramen| Paint| Anticipation
12,3,hZcpRm80EBk,640,763,Water| Bass| Table
12,4,hZcpRm80EBk,854,983,Detroit Red Wings| Black Widows Elite| Family
13,1,6c5Y47TYQWQ,75,268,Money| Light| Studying
13,2,6c5Y47TYQWQ,376,559,Goblet| Nancy Drew| Minerals
13,3,6c5Y47TYQWQ,702,826,Banana| Plushie| Blue
13,4,6c5Y47TYQWQ,920,1101,Life| Interaction| Psyche| Extinguisher| Kendrick
14,1,Ap4dVD_CRm8,65,237,California| Language| Enemy
14,2,Ap4dVD_CRm8,389,540,Chocolate| Cake Dinosaurs
14,3,Ap4dVD_CRm8,615,677,Random Beatboxer
14,4,Ap4dVD_CRm8,763,930,Genius| Mask| Wood| Van
14,5,Ap4dVD_CRm8,1004,1172,Black| Picture| Camera| Coffee
15,1,lt0r0JNDeeo,91,276,Beatbox| Discord| Drop| Beats| Inward Bass
15,2,lt0r0JNDeeo,464,593,Dental Hygienist| Drama| Family
15,3,lt0r0JNDeeo,701,912,Scarce| CAPS| Streets
15,4,lt0r0JNDeeo,1079,1227,Monster| Simultaneously| Siren
16,1,XTfaaoBRjvs,72,227,Pizza| Labradoodles| Ariana Grande
16,2,XTfaaoBRjvs,324,473,Dolphin| Orange| Eyelash
16,3,XTfaaoBRjvs,545,740,Call of Duty| PlayStation| Basketball
