0,1,2
0,2,0
2,2,10
2,7,15
7,17,0
17,17,9
17,17,10
17,18,1
18,21,10
21,21,9
21,23,17
23,23,8
23,25,17
25,25,9
25,27,18
27,28,9
28,29,15
29,29,6
29,31,11
31,31,5
31,33,6
33,33,1
33,36,4
36,36,3
36,38,13
38,38,10
38,40,12
40,40,2
40,42,7
42,42,5
42,43,8
43,43,3
43,45,4
45,45,1
45,46,8
46,46,7
46,48,15
48,48,8
48,51,15
51,51,7
51,54,13
54,54,6
54,56,14
56,56,8
56,57,10
57,57,2
57,59,5
59,59,3
59,61,6
61,61,3
61,63,9
63,63,6
63,67,11
67,67,5
67,68,10
68,68,5
68,70,8
70,70,3
70,72,5
72,72,2
72,74,3
74,74,1
74,80,11
80,80,10
80,82,13
82,82,3
82,84,11
84,84,8
84,86,16
86,86,8
86,89,15
89,89,7
89,90,14
90,90,7
90,92,15
92,92,8
92,94,15
94,94,7
94,96,14
96,96,7
96,98,14
98,98,7
98,101,16
101,101,9
101,103,17
103,103,8
103,105,16
105,105,8
105,107,16
107,107,8
107,109,17
109,109,9
109,111,16
111,111,7
111,113,15
113,113,8
113,115,14
115,116,6
116,118,15
118,118,9
118,120,17
120,120,8
120,122,15
122,122,7
122,125,14
125,125,7
125,126,14
126,126,7
126,129,16
129,129,9
129,131,17
131,131,8
131,133,15
133,133,7
133,135,15
135,135,8
135,136,14
136,136,6
136,138,12
138,138,6
138,140,14
140,140,8
140,143,16
143,143,8
143,144,14
144,144,6
144,146,12
146,146,6
146,149,13
149,149,7
149,151,15
151,151,8
151,153,17
153,153,9
153,155,15
155,155,6
155,157,16
157,157,10
157,159,16
159,159,6
159,161,13
161,161,7
161,164,16
164,164,9
164,166,18
166,166,9
166,169,19
169,169,10
169,171,18
171,171,8
171,174,17
174,174,9
174,175,17
175,175,8
175,177,17
177,177,9
177,180,18
180,180,9
180,181,18
181,182,9
182,183,15
183,183,6
183,185,12
185,185,6
185,186,13
186,186,7
186,189,15
189,189,8
189,191,16
191,191,8
191,194,14
194,194,6
194,195,12
195,196,6
196,198,12
198,198,6
198,200,14
200,200,8
200,202,16
202,202,8
202,204,16
204,204,8
204,206,15
206,206,7
206,208,16
208,208,9
208,210,18
210,210,9
210,212,16
212,212,7
212,214,14
214,214,7
214,216,15
216,216,8
216,218,15
218,218,7
218,220,16
220,220,9
220,223,17
223,223,8
223,225,14
225,225,6
225,228,14
228,228,8
228,230,15
230,230,7
230,231,16
231,232,9
232,233,19
233,233,10
233,236,20
236,236,10
236,238,19
238,238,9
238,240,17
240,240,8
240,242,15
242,242,7
242,245,15
245,245,8
245,247,17
247,247,9
247,249,16
249,249,7
249,251,15
251,251,8
251,253,15
253,253,7
253,254,14
254,254,7
254,256,15
256,256,8
256,258,15
258,258,7
258,260,16
260,260,9
260,263,18
263,263,9
263,265,19
265,265,10
265,267,17
267,267,7
267,270,15
270,270,8
270,272,18
272,272,10
272,273,17
273,273,7
273,276,16
276,276,9
276,278,17
278,278,8
278,279,15
279,279,7
279,282,16
282,282,9
282,284,17
284,284,8
284,286,16
286,286,8
286,287,16
287,287,8
287,289,16
289,289,8
289,291,15
291,291,7
291,293,15
293,293,8
293,295,17
295,295,9
295,297,17
297,297,8
297,299,16
299,299,8
299,301,17
301,301,9
301,303,20
303,303,11
303,305,19
305,305,8
305,307,15
307,307,7
307,315,11
315,317,0
317,317,5
317,320,14
320,320,9
320,323,15
323,323,6
323,325,14
325,325,8
325,327,14
327,327,6
327,329,11
329,329,5
329,331,12
331,331,7
331,333,12
333,334,5
334,336,14
336,336,9
336,336,10
336,336,1
336,339,10
339,339,9
339,340,11
340,340,2
340,341,6
341,342,4
342,344,11
344,344,7
344,346,10
346,346,3
346,352,10
352,356,0
356,356,8
356,358,17
358,358,9
358,360,13
360,360,4
